Species	Protein ID	Family	Genome/EST	Category
Oryza sativa subsp. japonica	LOC_Os07g48630.1	EIL	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g48630.2	EIL	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g39830.1	EIL	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g39830.2	EIL	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g31400.1	EIL	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g06852.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g16660.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g16740.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g19050.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g23840.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g32700.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g63030.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g63380.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g71850.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g01860.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g01950.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g10840.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g16140.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g16240.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g18370.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g25470.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g26780.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g28180.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g29640.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g31850.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g33750.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g33750.2	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g34590.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g39220.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g39520.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g39520.2	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g39540.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g39540.2	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g40950.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g44790.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g06860.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g08370.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g12490.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g15010.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g15040.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g15040.2	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g21660.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g37920.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g40160.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g41800.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g45300.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g50900.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g56630.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g56630.2	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g62660.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g62660.2	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g04400.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g10860.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g22990.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g25100.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g28580.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g30870.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g34430.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g34430.2	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g36590.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g40060.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g44630.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g49380.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g52560.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g54880.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g03090.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g03800.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g06170.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g10280.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g25320.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g30310.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g30720.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g37540.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g39480.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g39790.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g40680.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g07010.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g07010.2	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g13740.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g13900.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g25610.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g28150.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g32530.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g36970.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g39090.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g39680.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g42420.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g42520.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g49550.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g01270.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g18840.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g27770.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g27800.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g31400.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g31420.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g31420.2	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g32110.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g37630.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g42400.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g42400.2	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g46900.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g14880.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g14880.2	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g14880.3	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g14880.4	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g15510.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g16370.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g20486.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g25260.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g27740.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g32440.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g33270.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g01780.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g08460.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g11390.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g11870.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g14040.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g23230.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g25510.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g27390.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g06860.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g14040.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g19270.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g34884.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g42160.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g02964.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g05340.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g11220.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g12490.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g14020.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g15755.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g17430.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g19030.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g45530.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g03660.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g05940.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g06380.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g12380.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g12380.2	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g12380.3	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g18910.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g24400.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g32140.1	FAR1	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g03560.1	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g51870.1	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g58640.1	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g59530.1	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g37619.1	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g46780.1	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g46860.1	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g16430.1	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g09320.1	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g11010.1	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g11010.2	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g23680.1	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g23680.2	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g23680.3	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g41710.1	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g32750.1	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g34580.1	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g34580.2	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g03390.1	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g07050.1	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g27530.1	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g03070.1	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g03070.2	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g03070.3	FHA	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g08160.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g13740.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g13740.2	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g62660.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g74020.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g04640.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g07170.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g07770.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g14490.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g22020.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g45080.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g46940.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g47190.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g03760.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g20900.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g21240.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g45194.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g55590.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g55760.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g47890.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g56990.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g56990.2	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g56990.3	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g34110.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g40960.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g41240.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g41240.2	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g41240.3	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g24070.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g35140.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g40710.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g45410.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g45890.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g49040.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g02800.2	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g02800.3	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g25710.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g25710.2	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g25710.3	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g25710.4	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g48596.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g06370.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g25799.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g25820.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g25820.2	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g33050.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g33750.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g12750.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g12770.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g12770.2	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g23200.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g32600.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g39550.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g01480.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g01490.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g39640.1	G2-like	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g14720.1	GeBP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g25430.1	GeBP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g50110.1	GeBP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g44200.1	GeBP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os08g36450.1	GeBP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os09g27850.1	GeBP	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g45860.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g62460.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g62460.2	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g62460.3	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g65900.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g67650.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g67670.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g71970.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g10360.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g44360.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g44370.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g45760.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g09280.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g09280.2	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g09280.3	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g15680.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g29480.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g31880.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g40080.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g48450.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g48450.2	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g48450.3	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g48450.4	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g49990.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g51330.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g35250.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g46860.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g49110.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g50060.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g50060.2	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g31380.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g31420.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g40710.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g42130.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os05g49930.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g01620.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g03710.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g10900.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g40780.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g36170.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g36170.2	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g38030.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g39470.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g39820.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g40020.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g22430.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os10g40390.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g03110.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g04400.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g04570.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g04590.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g06180.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g11600.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g31100.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g47870.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g47890.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g47900.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g47910.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g47920.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g02870.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g04200.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g04370.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g04380.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g06540.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g38490.1	GRAS	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g45570.1	GRF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g45570.2	GRF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g47280.1	GRF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g47280.2	GRF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g53690.1	GRF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g47140.1	GRF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g51970.1	GRF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g48510.1	GRF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g51190.1	GRF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g51190.2	GRF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os04g51190.3	GRF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g02560.1	GRF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g02560.2	GRF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g02560.3	GRF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os06g10310.1	GRF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os07g28430.1	GRF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os11g35030.1	GRF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g29980.1	GRF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os12g29980.2	GRF	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g19694.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g45570.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g47710.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g48170.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g55549.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g57890.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g57890.2	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g60270.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g60270.2	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g62310.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g62920.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g63510.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os01g70810.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g05450.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g05640.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g08544.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g08544.2	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g13310.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g35770.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g43330.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g45250.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g49700.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g49700.2	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os02g49700.3	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g01890.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g01890.2	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g03164.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g03164.2	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g03164.3	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g03260.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g06930.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g07450.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g08960.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g10210.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g12860.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g20910.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g20910.2	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g43930.1	HB	Genome	TF
Oryza sativa subsp. japonica	LOC_Os03g43930.2	HB	Genome	TF
